Title,Link,Author,Date,Push_Count
[菜單] 80k 白色全景背插遊戲主機（修改）,https://www.ptt.cc/bbs/PC_Shopping/M.1742136337.A.B31.html,mko00456,3/16,3
[菜單] 35k 遊戲機,https://www.ptt.cc/bbs/PC_Shopping/M.1742136733.A.CBE.html,charlie60508,3/16,1
[菜單] 25k以下文書輕遊戲機,https://www.ptt.cc/bbs/PC_Shopping/M.1742138953.A.33E.html,compete,3/16,2
[菜單] 100k遊戲工作機,https://www.ptt.cc/bbs/PC_Shopping/M.1742145266.A.107.html,ak47oldman,3/17,5
[情報] 微軟建議以全新安裝的方式從win10更新至w,https://www.ptt.cc/bbs/PC_Shopping/M.1742151164.A.989.html,hn9480412,3/17,23
[情報] 九州風神 psu 電源供應器全系降價,https://www.ptt.cc/bbs/PC_Shopping/M.1742171136.A.EF4.html,TFGlajumbo,3/17,10
[情報] rtx 50 顯示卡成本太高高若原價賣會賠死,https://www.ptt.cc/bbs/PC_Shopping/M.1742171235.A.8E9.html,TFGlajumbo,3/17,100+
[菜單] 想把金額壓在3萬5內 請推薦機殼,https://www.ptt.cc/bbs/PC_Shopping/M.1742177217.A.0DE.html,ifeedmydog,3/17,22
[情報] lg 45gx950a 開始接受預訂,https://www.ptt.cc/bbs/PC_Shopping/M.1742178181.A.87D.html,cevs,3/17,39
[心得] 美亞 amd r9 5900xt 退款再購買,https://www.ptt.cc/bbs/PC_Shopping/M.1742180835.A.F01.html,parislove3,3/17,10
[測試] 動爪玩nvidia geforce rtx 5080 fe下,https://www.ptt.cc/bbs/PC_Shopping/M.1742184188.A.394.html,wolflsi,3/17,10
[菜單] 35k 遊戲機,https://www.ptt.cc/bbs/PC_Shopping/M.1742187448.A.E1D.html,BhuvishaV,3/17,1
[菜單] 45k遊戲機、矮機殼非itx,https://www.ptt.cc/bbs/PC_Shopping/M.1742188629.A.62E.html,hereticbuddy,3/17,4
[菜單] 80k升級全白機請益,https://www.ptt.cc/bbs/PC_Shopping/M.1742193066.A.0DD.html,ben010302,3/17,2
[公告] rook18ies 水桶六十天,https://www.ptt.cc/bbs/PC_Shopping/M.1742194678.A.105.html,AreLies,3/17,3
